ID;STATION CODE;LOCATIONS;STATE;Temp;TempW;DO;DOW;Conductivity;ConductivityW;NI;NIW;WQI;WQI clf
1;1399;ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS. GOA;GOA;29.8;0.74;5.7;0.5;189;0.003;0.2;0.001748091;175.3635058;0
2;1475;ZUARI AT PANCHAWADI;GOA;29.5;0.72;6.3;0.56;179;0.003;0.1;0.000828043;126.1358307;0
3;3181;RIVER ZUARI AT BORIM BRIDGE;GOA;29.7;0.73;5.8;0.51;64;0.001;0.5;0.004508234;195.1056588;0
4;3182;RIVER ZUARI AT MARCAIM JETTY;GOA;29.5;0.72;5.8;0.51;83;0.001;0.4;0.003588187;141.3932455;0
5;1400;MANDOVI AT NEGHBOURHOOD OF PANAJI. GOA;GOA;30;0.75;5.5;0.49;81;0.001;0.1;0.000828043;127.9717464;0
6;1476;MANDOVI AT TONCA. MARCELA. GOA;GOA;29.2;0.71;6.1;0.54;308;0.005;0.3;0.002668139;123.5710913;0
7;3185;RIVER MANDOVI AT AMONA BRIDGE;GOA;29.6;0.73;6.4;0.57;414;0.006;0.2;0.001748091;179.4924371;0
8;3186;RIVER MANDOVI AT IFFI JETTY;GOA;30;0.75;6.4;0.57;305;0.004;0.1;0.000828043;147.3791638;0
9;3187;RIVER MANDOVI NEAR HOTEL MARRIOT;GOA;30.1;0.76;6.3;0.56;77;0.001;0.1;0.000828043;129.2725107;0
10;1543;RIVER KALNA AT CHANDELNAN PERNEM. GOA;GOA;27.8;0.63;7.1;0.63;176;0.003;0.1;0.000828043;151.2726151;0
11;1548;RIVER ASSONORA AT ASSONORA. GOA;GOA;27.9;0.63;6.7;0.6;93;0.001;0.1;0.000828043;88.2180229;0
12;2276;RIVER BICHOLIM VARAZAN NAGAR . BICHOLIM;GOA;29.3;0.71;7.4;0.66;121;0.002;0.4;0.003588187;307.3618142;0
13;2275;RIVER CHAPORA NEAR ALORNA FORT .PERNEM;GOA;29.2;0.71;6.9;0.61;620;0.009;0.1;0.000828043;125.664229;0
14;3189;RIVER CHAPORA AT SIOLIM;GOA;30;0.75;6;0.53;72;0.001;0.2;0.001748091;176.7376249;0
17;2272;RIVER KUSHAWATI NEAR BUND AT KEVONA.RIVON.SANGUEM;GOA;28.7;0.68;7;0.62;224;0.003;0.3;0.002668139;133.1159287;0
