index,concepts
0,4001
1,4176
2,3810
3,4338
4,3984
5,4158
6,2453
7,2130
8,324
9,145
10,50
11,250
12,2276
13,2076
14,3901
15,4189
16,4201
17,3836
18,3976
19,4205
20,4165
21,3936
22,4211
23,4017
24,4460
25,4871
26,3960
27,3946
28,3929
29,4173
30,1234
31,24
32,906
33,891
34,3972
35,2494
36,2087
37,4245
38,4235
39,3928
40,3897
41,281
42,133
43,2764
44,2786
45,2164
46,2218
47,2199
48,2200
49,4016
50,3844
51,3978
52,4171
53,4159
54,3980
55,4057
56,3792
57,2169
58,2293
59,2292
60,2230
61,57
62,585
63,2152
64,2167
65,777
66,290
67,2127
68,2296
69,2780
70,2736
71,254
72,598
73,2662
74,2658
75,609
76,934
77,4213
78,4009
79,3666
80,3661
81,3874
82,2156
83,2162
84,2252
85,2259
86,2308
87,2148
88,292
89,149
90,3952
91,205
92,88
93,241
94,257
95,134
96,2705
97,2677
98,2089
99,2049
100,2239
101,2249
102,4170
103,4003
104,4668
105,3930
106,2202
107,3026
108,59
109,52
110,552
111,228
112,3967
113,3835
114,594
115,2176
116,2161
117,1917
118,1915
119,4219
120,3981
121,231
122,188
123,4196
124,2060
125,2371
126,3917
127,4020
128,4096
129,4081
130,4243
131,4254
132,163
133,1389
134,3911
135,3837
136,2240
137,2247
138,4215
139,3904
140,2206
141,2136
142,3177
143,3179
144,2633
145,2144
146,3833
147,3895
148,4156
149,3898
150,2231
151,2325
152,2273
153,2137
154,3925
155,4217
156,4456
157,4298
158,839
159,1216
160,280
161,146
162,2213
163,2310
164,733
165,1114
166,2034
167,2050
168,4150
169,3948
170,4067
171,4041
172,4179
173,3990
174,4155
175,4833
176,4363
177,2313
178,2194
179,367
180,4183
181,4784
182,3802
183,2269
184,2244
185,3128
186,2271
187,2191
188,3834
189,3993
190,2126
191,2443
192,4013
193,3838
194,3653
195,2229
196,2309
197,2233
198,2172
199,4331
200,4058
201,3816
202,3681
203,3437
204,2190
205,4248
206,1002
207,640
208,3969
209,413
210,109
211,3961
212,2170
213,2280
214,2143
215,60
216,593
217,3985
218,4154
219,4200
220,3845
221,3804
222,4337
223,4166
224,4087
225,4100
226,4323
227,4047
228,2321
229,4162
230,72
231,204
232,148
233,297
234,3989
235,4153
236,2185
237,752
238,760
239,3932
240,3907
241,2221
242,938
243,607
244,3945
245,3731
246,4438
247,3977
248,4216
249,94
250,3965
251,4178
252,887
253,900
254,3913
255,838
256,240
257,3746
258,2263
259,2256
260,603
261,2623
262,2338
263,2949
264,2752
265,3127
266,2242
267,4781
268,4294
269,266
270,2905
271,2749
272,2187
273,2281
274,4214
275,3996
276,3951
277,3971
278,4194
279,4826
280,3745
281,2082
